FormulaID,ProductID,Qty,IsPosted
2,03003,1,False
5,03018,1,False
7,03012,1,False
8,03010,1,False
9,03011,1,False
12,03026,1,False
16,03014,1,False
19,03017,1,False
20,03032,1,False
21,03033,1,False
22,03022,1,False
24,03035,1,False
25,03036,1,False
26,03037,1,False
27,03038,1,False
28,03039,1,False
31,03013,1,False
34,03004,1,False
35,03001,1,False
36,03042,1,False
37,03043,1,False
39,03045,1,False
41,03047,1,False
44,03050,1,False
45,03044,1,False
46,03019,1,False
48,03024,1,False
49,03029,1,False
50,03051,1,False
51,03023,1,False
52,03052,1,False
54,03053,1,False
55,03054,1,False
57,03002,1,False
58,03021,1,False
61,03059,1,False
63,03061,1,False
73,03070,1,False
74,03071,1,False
75,03072,1,False
76,03074,1,False
77,03076,1,False
78,03077,1,False
79,03084,1,False
80,03087,1,False
81,03088,1,False
88,03094,1,False
89,03093,1,False
90,03096,1,False
91,03089,1,False
92,03090,1,False
94,03095,1,False
98,03100,1,False
99,03101,1,False
100,03103,1,False
101,03104,1,False
103,03106,1,False
104,03108,1,False
105,03109,1,False
107,03110,1,False
108,03111,1,False
110,03112,1,False
111,03114,1,False
112,03116,1,False
113,03117,1,False
115,03120,1,False
116,03121,1,False
117,03122,1,False
118,03123,1,False
119,03124,1,False
121,03086,1,False
122,03128,1,False
123,03129,1,False
124,03130,1,False
125,03119,1,False
126,03131,1,False
127,03133,1,False
128,03134,1,False
129,03135,1,False
130,03136,1,False
131,03137,1,False
132,03140,1,False
133,03138,1,False
134,03075,1,False
135,03141,1,False
136,03143,1,False
137,03142,1,False
138,03144,1,False
139,03145,1,False
140,03127,1,False
142,03147,1,False
146,03151,1,False
147,03152,1,False
148,03153,1,False
149,03092,1,False
150,03154,1,False
151,03155,1,False
152,03156,1,False
154,03158,1,False
155,03159,1,False
156,03160,1,False
157,03161,1,False
158,03162,1,False
159,03163,1,False
160,03164,1,False
163,03167,1,False
164,03168,1,False
165,03169,1,False
167,03171,1,False
168,03172,1,False
169,03173,1,False
170,03174,1,False
171,03165,1,False
172,03175,1,False
173,03176,1,False
174,03177,1,False
175,03178,1,False
176,03179,1,False
178,03181,1,False
179,03182,1,False
180,03183,1,False
181,03184,1,False
182,03185,1,False
183,03186,1,False
184,03187,1,False
185,03188,1,False
186,03189,1,False
187,03193,1,False
188,03191,1,False
191,03194,1,False
192,03195,1,False
193,03196,1,False
194,03197,1,False
195,03198,1,False
196,03199,1,False
197,03200,1,False
198,03201,1,False
199,03202,1,False
200,03206,1,False
201,03205,1,False
202,03204,1,False
203,03207,1,False
204,03208,1,False
205,03209,1,False
206,03098,1,False
207,03210,1,False
208,03211,1,False
209,03213,1,False
210,03214,1,False
211,03216,1,False
212,03217,1,False
213,03218,1,False
214,03220,1,False
215,03219,1,False
216,03221,1,False
217,03215,1,False
219,03223,1,False
220,03224,1,False
221,03225,1,False
222,03226,1,False
223,03231,1,False
224,03228,1,False
225,03229,1,False
226,03230,1,False
227,03227,1,False
228,03232,1,False
229,03233,1,False
230,03235,1,False
231,03234,1,False
232,03236,1,False
233,03238,1,False
234,03239,1,False
235,03240,1,False
236,03241,1,False
237,03242,1,False
238,03243,1,False
239,03244,1,False
240,03245,1,False
241,03246,1,False
242,03248,1,False
243,03247,1,False
244,03249,1,False
245,03253,1,False
246,03255,1,False
247,03254,1,False
248,03257,1,False
249,03258,1,False
250,03256,1,False
251,03263,1,False
252,03260,1,False
253,03261,1,False
254,03262,1,False
255,03046,1,False
256,03190,1,False
257,03097,1,False
258,03027,1,False
259,03034,1,False
260,03009,1,False
261,03107,1,False
262,03055,1,False
263,03028,1,False
264,03025,1,False
265,03264,1,False
266,03118,1,False
267,03192,1,False
268,03060,1,False
269,03222,1,False
270,03146,1,False
271,03265,1,False
272,03102,1,False
273,03091,1,False
274,03020,1,False
275,03113,1,False
276,03266,1,False
277,03267,1,False
278,03269,1,False
279,03270,1,False
280,03268,1,False
281,03271,1,False
282,03272,1,False
283,03273,1,False
284,03274,1,False
285,03275,1,False
286,03276,1,False
287,03281,1,False
288,03282,1,False
289,03279,1,False
290,03280,1,False
291,03277,1,False
292,03278,1,False
293,03283,1,False
294,03284,1,False
295,03285,1,False
296,03286,1,False
297,03287,1,False
298,03288,1,False
299,03289,1,False
300,03290,1,False
301,03291,1,False
302,03292,1,False
303,03293,1,False
304,03294,1,False
305,03295,1,False
306,03296,1,False
307,02474,1,False
308,03297,1,False
309,03298,1,False
310,03299,1,False
311,03300,1,False
312,03302,1,False
