ProductId,Quantity,Bonus,Price,DiscRatio1,DiscRatio2,STValue,STRatio,TTLValue,TTLSalestax,IsDeleted,UserNo
00008,500.000000000,0.000000000,64.000000,0.00,0.00,0.00,0.00,32000.000000,0.00,False,
00010,500.000000000,0.000000000,70.000000,0.00,0.00,0.00,0.00,35000.000000,0.00,False,
00013,200.000000000,0.000000000,64.000000,0.00,0.00,0.00,0.00,12800.000000,0.00,False,
00019,177.000000000,0.000000000,1440.000000,0.00,0.00,0.00,0.00,254880.000000,0.00,False,
00030,100.000000000,0.000000000,48.000000,0.00,0.00,0.00,0.00,4800.000000,0.00,False,
00053,4.000000000,0.000000000,9000.000000,0.00,0.00,0.00,0.00,36000.000000,0.00,False,
00124,160.000000000,0.000000000,5000.000000,0.00,0.00,0.00,0.00,800000.000000,0.00,False,
00259,655.000000000,0.000000000,40.000000,0.00,0.00,0.00,0.00,26200.000000,0.00,False,
00262,898.000000000,0.000000000,40.000000,0.00,0.00,0.00,0.00,35920.000000,0.00,False,
00264,110.000000000,0.000000000,1500.000000,0.00,0.00,0.00,0.00,165000.000000,0.00,False,
00357,2.000000000,0.000000000,10000.000000,0.00,0.00,0.00,0.00,20000.000000,0.00,False,
00363,934.000000000,0.000000000,14000.000000,0.00,0.00,0.00,0.00,13076000.000000,0.00,False,
00369,5080.000000000,0.000000000,300.000000,0.00,0.00,0.00,0.00,1524000.000000,0.00,False,
00398,40.000000000,0.000000000,3000.000000,0.00,0.00,0.00,0.00,120000.000000,0.00,False,
00416,100.000000000,0.000000000,50000.000000,0.00,0.00,0.00,0.00,5000000.000000,0.00,False,
01001,4.500000000,0.000000000,1850.000000,0.00,0.00,0.00,0.00,8325.000000,0.00,False,
01002,25.000000000,0.000000000,200.000000,0.00,0.00,0.00,0.00,5000.000000,0.00,False,
01003,150.000000000,0.000000000,17.000000,0.00,0.00,0.00,0.00,2550.000000,0.00,False,
01005,12.000000000,0.000000000,1500.000000,0.00,0.00,0.00,0.00,18000.000000,0.00,False,
01009,65.000000000,0.000000000,1650.000000,0.00,0.00,0.00,0.00,107250.000000,0.00,False,
