SerialNo,AccountNo,VoucherNo,VoucherDate,Narration,Debit
452,610018,70,07/11/2026 00:00:00,NA. CARBONATE,6400.00
453,547,70,07/11/2026 00:00:00,SHOPER + TAP,28400.00
454,547,70,07/11/2026 00:00:00,VANILACENT,750.00
455,610018,70,07/11/2026 00:00:00,NA. CORBONATE,3200.00
456,52062,70,07/11/2026 00:00:00,RENT,2350.00
457,52055,71,07/12/2026 00:00:00,PETROL HARIPUR,25000.00
458,54001,72,07/13/2026 00:00:00,CAR RENT + INSTALLMENT,1900000.00
459,52002,72,07/13/2026 00:00:00,ZEESHAN,100000.00
460,64002,72,07/13/2026 00:00:00,ASIF RANG DR SB HOUSE,25000.00
461,64002,72,07/13/2026 00:00:00,DR SB HOUSE WORK SANTERY,6500.00
462,64002,72,07/13/2026 00:00:00,DR SB HOUSE RANG WALA,80000.00
463,610018,72,07/13/2026 00:00:00,SALT / NAMIK,85000.00
475,548,73,07/14/2026 00:00:00,ATTIQUE MARKET EXP,55000.00
476,52015,73,07/14/2026 00:00:00,ALI SALARY,100000.00
477,52015,73,07/14/2026 00:00:00,SABOR SALARY,82500.00
478,610019,73,07/14/2026 00:00:00,HAMMID BILTY PURCHASED,22000.00
479,54001,73,07/14/2026 00:00:00,CAR RENT + INSTALLMENT,1880000.00
480,548,73,07/14/2026 00:00:00,DR KHALID EXP,91000.00
481,548,73,07/14/2026 00:00:00,WADOOD EXP,169996.00
482,548,73,07/14/2026 00:00:00,WASEEM EXP,55000.00
483,52023,73,07/14/2026 00:00:00,FACTORY SAMAN,69130.00
484,64002,73,07/14/2026 00:00:00,DR SB HOUSE EXP LOHAR,57000.00
485,52062,73,07/14/2026 00:00:00,BUILTY EXP,22000.00
486,519,73,07/14/2026 00:00:00,L.C EXP,1500000.00
487,52009,74,07/15/2026 00:00:00,HABIB CAR RENT + INSTALLMENT,655000.00
488,54001,74,07/15/2026 00:00:00,CAR RENT + INTSALLMENT,1500000.00
489,52023,74,07/15/2026 00:00:00,FACTORY SAMAN,46000.00
490,52054,74,07/15/2026 00:00:00,QAZI ROOM IN SERENA HOTEL,87000.00
491,547,74,07/15/2026 00:00:00,MOBILE BATTERY,4500.00
495,52002,76,07/17/2026 00:00:00,DIB INSTALLMENT,60000.00
496,52009,76,07/17/2026 00:00:00,RENT,32000.00
497,64002,76,07/17/2026 00:00:00,DR SB HOUSE ASIF RANG,50000.00
498,52055,77,07/18/2026 00:00:00,PETROL,2000.00
499,64002,77,07/18/2026 00:00:00,DR SB HOUSE EXP,50000.00
500,547,78,07/19/2026 00:00:00,SHOPER + TAB ,20750.00
501,610019,78,07/19/2026 00:00:00,AMER BOTTLE,11950.00
502,610018,78,07/19/2026 00:00:00,CASTIOR OIL,2300.00
503,52023,79,07/21/2026 00:00:00,NASIR MISTRY FACTORY REPAIR AND MAINTENANCE EXP,200000.00
504,64002,79,07/21/2026 00:00:00,ORANG ZAIB REGISTRY ,200000.00
509,620041,81,07/20/2026 00:00:00,kazim salary c/o qazi ifan,245718.00
510,64002,81,07/20/2026 00:00:00,DR SB HOUSE WORK,21200.00
511,64002,81,07/20/2026 00:00:00,DR SB HOUSE WORK SHAH RANG,94700.00
512,64002,81,07/20/2026 00:00:00,DR SB HOUSE WORK ANWAR SAMAN,11760.00
513,52002,81,07/20/2026 00:00:00,DRAP FEEC,25000.00
514,620041,81,07/20/2026 00:00:00,SARFRAZ SALARY ,150000.00
515,52014,81,07/20/2026 00:00:00,ZAFAR ULLAH SALARY,100000.00
516,610018,81,07/20/2026 00:00:00,NAMIK,22900.00
517,54001,81,07/20/2026 00:00:00,CAR RENT + INSTALLMENT,350000.00
518,52001,81,07/20/2026 00:00:00,RASHAN,43000.00
519,64002,81,07/20/2026 00:00:00,DR SB HOUSE WORK,12600.00
520,610018,81,07/20/2026 00:00:00,ARK,117500.00
521,52015,81,07/20/2026 00:00:00,KAHSIF MINHAS SALARY,100000.00
522,610004,80,07/22/2026 00:00:00,,500000.00
523,64002,80,07/22/2026 00:00:00,DR SB HOUSE EXP,15000.00
524,54001,80,07/22/2026 00:00:00,,1250000.00
525,52062,80,07/22/2026 00:00:00,BILTY EXP,13000.00
526,547,80,07/22/2026 00:00:00,MISC EXP,7000.00
527,52014,82,07/23/2026 00:00:00,MEHMOOD SALARY,50000.00
528,64002,82,07/23/2026 00:00:00,ORANG ZAIB REGISTRY ,200000.00
529,610018,82,07/23/2026 00:00:00,SHOKUT UAF FORMIC ACID,208250.00
530,12003,82,07/23/2026 00:00:00,SARGODHA CAR INSTALLMENT,47500.00
531,548,82,07/23/2026 00:00:00,KALEEM ULLAH,28605.00
532,519,82,07/23/2026 00:00:00,MOON LANDER L.C EXP,300000.00
533,610022,82,07/23/2026 00:00:00,PURCHASED FROM HASNAAN,146000.00
534,52023,82,07/23/2026 00:00:00,MAIN CEMENT,150000.00
535,64002,83,07/24/2026 00:00:00,DR SB HOUSE FURNITURE,250000.00
536,64002,83,07/24/2026 00:00:00,DR SB HOUSE A.C,100000.00
537,610022,83,07/24/2026 00:00:00,PURCHASED FROM KHALID BANTO,145000.00
538,54001,83,07/24/2026 00:00:00,RENT+ INSTALLMENT,200000.00
539,520907,83,07/24/2026 00:00:00,FEED LICENCE,50000.00
546,610018,85,07/25/2026 00:00:00,FORMIC ACID,44000.00
547,1221,85,07/25/2026 00:00:00,COMPUTER PURCHASED,70000.00
548,54001,85,07/25/2026 00:00:00,RENT,120000.00
549,52023,85,07/25/2026 00:00:00,MIAN CEMENT,150000.00
550,52055,85,07/25/2026 00:00:00,PETROL,10000.00
551,64002,86,07/26/2026 00:00:00,ANWER SAMAN,8000.00
552,610018,86,07/26/2026 00:00:00,SODA ,12800.00
553,547,86,07/26/2026 00:00:00,SHOPER + TIE,20200.00
554,52055,86,07/26/2026 00:00:00,PETROL,1000.00
555,52055,86,07/26/2026 00:00:00,PETROL,3000.00
556,52009,84,07/27/2026 00:00:00,HABIB CAR RENT,300000.00
557,64002,84,07/27/2026 00:00:00,DR SB HOUSE FIRNUTURE,300000.00
558,64002,84,07/27/2026 00:00:00,DR SB HOUSE ANWER HITTER,3000.00
559,540,84,07/27/2026 00:00:00,PTCL BILL,6420.00
560,64002,84,07/27/2026 00:00:00,DR SB HOUSE WORK,5000.00
561,52055,84,07/27/2026 00:00:00,PETROL 12000+10000,22000.00
562,610019,84,07/27/2026 00:00:00,BOTTLE PURCHASED FROM HAMID,52500.00
563,54001,87,07/28/2026 00:00:00,RANT +  INSTALLMET,1230000.00
564,610018,87,07/28/2026 00:00:00,SODIUM + STRCH +COSTIOR OIL + SULPHATE ,21920.00
565,547,87,07/28/2026 00:00:00,TAPE + SCOPE + RAMBA + CHINI,8750.00
566,610019,87,07/28/2026 00:00:00,AMER PET BOTTLE 100 ML,46800.00
567,547,87,07/28/2026 00:00:00,SHOPER ,2900.00
568,52062,87,07/28/2026 00:00:00,RENT,1630.00
569,52023,88,07/29/2026 00:00:00,FACTORY WOOD,10000.00
570,52062,88,07/29/2026 00:00:00,BILTY ,65000.00
571,54001,88,07/29/2026 00:00:00,RENT,450000.00
572,64002,88,07/29/2026 00:00:00,DR SB HOUSE EXP,50000.00
573,548,89,07/30/2026 00:00:00,ZAFAR EXP 35000+5000,40000.00
574,52055,89,07/30/2026 00:00:00,PETROL,5000.00
575,64002,89,07/30/2026 00:00:00,DR SB HOUSE EXP,15000.00
579,548,90,07/31/2026 00:00:00,AMMAR KHALIL EXP,49360.00
580,548,90,07/31/2026 00:00:00,AZHER AYUB EXP,47700.00
581,548,90,07/31/2026 00:00:00,ABDULLAH EXP,26640.00
582,52010,90,07/31/2026 00:00:00,"6 month profit 500000  profit ( 10,000)",60000.00
583,540,75,07/16/2026 00:00:00,ELECTRIC BILL,592365.00
584,52009,75,07/16/2026 00:00:00,CAR RENT,50000.00
585,12001,75,07/16/2026 00:00:00,HOUSE INSTALLMENT,325000.00
586,52023,75,07/16/2026 00:00:00,Nasir factory,200000.00
587,52010,91,08/01/2026 00:00:00,PROFIT,315000.00
588,52014,91,08/01/2026 00:00:00,ANWER SALARY ,160000.00
589,548,91,08/01/2026 00:00:00,HAROON MARKET EXP,150000.00
590,548,91,08/01/2026 00:00:00,HARIS HASEEB MARKET EXP,58324.00
591,549,91,08/01/2026 00:00:00,DR RIAZ  MUSTAFA INCENTIVE,65000.00
592,548,91,08/01/2026 00:00:00,SAQLAIN MARKET EXP,54825.00
593,548,91,08/01/2026 00:00:00,ZAIN MARKET EXP,140000.00
594,52014,91,08/01/2026 00:00:00,PATHAN SALARIES,661000.00
597,52014,92,08/02/2026 00:00:00,MEHMOOD SALARY,50000.00
598,52014,92,08/02/2026 00:00:00,ARSHID DRIVER SALARY ,100000.00
599,5211001,92,08/02/2026 00:00:00,ABDUL REHMAN SALARY,100000.00
600,5211001,92,08/02/2026 00:00:00,ABDUL ZEESHAN SALARY,50000.00
605,610004,94,08/04/2026 00:00:00,,200000.00
606,548,94,08/04/2026 00:00:00,HAROON EXP,31325.00
607,548,94,08/04/2026 00:00:00,SABOOR MARKET EXP,54510.00
608,548,94,08/04/2026 00:00:00,ZAIN MARKET EXP,37831.00
609,52054,94,08/04/2026 00:00:00,REFRESHMENT EXP,15000.00
610,610014,95,08/05/2026 00:00:00,,2000000.00
611,52054,95,08/05/2026 00:00:00,KHANA,10000.00
612,52015,95,08/05/2026 00:00:00,PINDI FEUL EXP,20000.00
616,64002,96,08/06/2026 00:00:00,MASJID FUND,70000.00
617,52002,96,08/06/2026 00:00:00,D.I.B FEEC,60000.00
618,64002,96,08/06/2026 00:00:00,DR SB HOUSE EXP,100000.00
619,64002,96,08/06/2026 00:00:00,DR SB HOUSE CONSTRUCTION WOODMAN,25000.00
620,52014,96,08/06/2026 00:00:00,SALARY ANWAR ASSISTANT,35000.00
621,544,96,08/06/2026 00:00:00,AMIR FACTORY FOREIGN TOUR,650000.00
631,610005,97,08/07/2026 00:00:00,,200000.00
632,610022,97,08/07/2026 00:00:00,HASNAAT BENTO 130000+ BILTY 16000,130000.00
633,52062,97,08/07/2026 00:00:00,HASNAAT BAILTY,16000.00
634,52014,97,08/07/2026 00:00:00,ANWAR FACTORY MACHENIC,96000.00
635,52015,97,08/07/2026 00:00:00,ZAFAR KHAN SALARY,200000.00
636,548,97,08/07/2026 00:00:00,ZAFAR KHAN FUEL EXP,40000.00
637,52014,97,08/07/2026 00:00:00,MEHMOOD SALARY,33750.00
638,548,97,08/07/2026 00:00:00,DR SB SAKHAR FUEL EXP,25000.00
639,54001,93,08/03/2026 00:00:00,RENT + INSTALLMENT,1124000.00
640,610012,93,08/03/2026 00:00:00,IMRAN BOTTLE,400000.00
641,5211001,93,08/03/2026 00:00:00,IRFAN SALARY  ,150000.00
642,610012,93,08/03/2026 00:00:00,,500000.00
643,52014,93,08/03/2026 00:00:00,KASHIF MANZOOR SALARY,120000.00
644,52014,93,08/03/2026 00:00:00,DR KALEEM SALARY,500000.00
645,52015,93,08/03/2026 00:00:00,DR WADOOD SALARY,100000.00
646,52015,93,08/03/2026 00:00:00,DR KHALID SALARY,300000.00
647,52005,93,08/03/2026 00:00:00,DRAP FEEC,113500.00
648,64002,93,08/03/2026 00:00:00,TRANSER 10K TO REHAN ACCOUNT,10000.00
649,52001,93,08/03/2026 00:00:00,,40000.00
650,52015,98,08/08/2026 00:00:00,AZAR AYUB,50000.00
651,52015,98,08/08/2026 00:00:00,OMAR KHALIL,80000.00
652,52015,98,08/08/2026 00:00:00,NOOR,50000.00
653,52015,98,08/08/2026 00:00:00,SAQLAIN,65000.00
654,52015,98,08/08/2026 00:00:00,ADEEL,50000.00
655,52015,98,08/08/2026 00:00:00,HARIS,55000.00
656,52015,98,08/08/2026 00:00:00,SABOOR,55000.00
657,52015,98,08/08/2026 00:00:00,ATTIQUE,55000.00
658,52015,98,08/08/2026 00:00:00,HARIS,50000.00
659,52015,98,08/08/2026 00:00:00,ABDULLAH,80000.00
660,52015,98,08/08/2026 00:00:00,NASIR ALI,55000.00
661,64002,99,08/09/2026 00:00:00,DR SB HOUSE EXP,62500.00
662,610018,99,08/09/2026 00:00:00,ELCLUPTUS OIL,31200.00
663,610018,99,08/09/2026 00:00:00,PEPPER MINT OIL,28200.00
664,610019,99,08/09/2026 00:00:00,UNPRINT BAG,3800.00
665,620041,100,08/10/2026 00:00:00,QAZIM SALARY,158467.00
666,54001,100,08/10/2026 00:00:00,RENT + INSTALLMENT,2000000.00
667,54001,100,08/10/2026 00:00:00,RENT + INSTALLMENT,950000.00
668,620041,100,08/10/2026 00:00:00,FAISAL SALARY,100000.00
669,12001,100,08/10/2026 00:00:00,HOUSE LOAN RETURN INSTALLMENT,6100000.00
670,12003,100,08/10/2026 00:00:00,CAR INSTALLMENT,111650.00
671,64002,100,08/10/2026 00:00:00,DR SB HOUSE EXP,10000.00
672,52002,100,08/10/2026 00:00:00,ZEESHAN,100000.00
673,12003,100,08/10/2026 00:00:00,FORTUNOR INSTALLMENT,512000.00
674,52023,101,08/11/2026 00:00:00,FACTORY MAINTENANCE  ANWAR,25470.00
675,52015,101,08/11/2026 00:00:00,ZAIN,300000.00
676,52015,101,08/11/2026 00:00:00,HAROON,300000.00
677,547,101,08/11/2026 00:00:00,,7500.00
678,12003,101,08/11/2026 00:00:00,INSTALLMET CAR,67000.00
679,55001,101,08/11/2026 00:00:00,AQUA CAR MAINTENANCE  USMAN MECHENIC,127000.00
680,610022,102,08/12/2026 00:00:00,PAID TO KHALID BANTO,150000.00
681,548,102,08/12/2026 00:00:00,ATTIQUE EXP,82122.00
682,610018,102,08/12/2026 00:00:00,STARCH ,8500.00
683,547,102,08/12/2026 00:00:00,,2500.00
684,610018,103,08/13/2026 00:00:00,DCP CALCIUM PURCHASED,133488.00
685,14001,103,08/13/2026 00:00:00,CAR TAX TOKEN ,175700.00
686,610018,103,08/13/2026 00:00:00,"PF-139750,SORBITAL-78375,FORNIC ACID-43680,ANISE OIL-5000,PEPPER-4600",276605.00
687,54001,103,08/13/2026 00:00:00,RENT + INSTALLMENT,1695000.00
688,52055,103,08/13/2026 00:00:00,FUEL EXP,1895.00
691,54001,104,08/14/2026 00:00:00,RENT+ INSTALLMENT,554000.00
692,64002,104,08/14/2026 00:00:00,DR SB HOUSE EXP,20000.00
693,54001,104,08/14/2026 00:00:00,RENT + INSTALLMENT,500000.00
694,64002,105,08/16/2026 00:00:00,DR SB PERSONAL I-PAD REPAIR,13000.00
695,52054,105,08/16/2026 00:00:00,FACTORY KHANA,5000.00
696,52055,105,08/16/2026 00:00:00,FUEL EXP,18000.00
697,52015,106,08/15/2026 00:00:00,DR NOOR SALARY,100000.00
698,54001,106,08/15/2026 00:00:00,RENT + INSTALLMENT,76100.00
